         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   216/46    0.001    0.000    0.155    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
   190/44    0.000    0.000    0.151    0.003 <frozen importlib._bootstrap_external>:784(exec_module)
   117/38    0.000    0.000    0.147    0.004 {built-in method builtins.__import__}
   198/45    0.000    0.000    0.144    0.003 {built-in method builtins.exec}
  289/265    0.001    0.000    0.125    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:442(lower_inst)
      4/3    0.000    0.000    0.119    0.040 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:105(run_pass)
      4/3    0.000    0.000    0.119    0.040 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
      4/3    0.000    0.000    0.112    0.037 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:1072(propagate)
      9/7    0.001    0.000    0.111    0.016 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:147(propagate)
  259/257    0.004    0.000    0.102    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:281(get_call_type)
        3    0.000    0.000    0.100    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:225(get_executable)
        3    0.000    0.000    0.100    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
  123/111    0.000    0.000    0.096    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:650(lower_assign)
  209/207    0.001    0.000    0.095    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:585(resolve)
      368    0.004    0.000    0.094    0.000 /Users/adam/git/personal/simian/new/render.py:16(render)
    68/63    0.000    0.000    0.093    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:1170(lower_expr)
  211/206    0.000    0.000    0.092    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:189(resolve_function_type)
  211/206    0.000    0.000    0.092    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
  203/201    0.000    0.000    0.090    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:1539(resolve_call)
        7    0.000    0.000    0.089    0.013 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:781(_finalize_final_module)
        5    0.000    0.000    0.088    0.018 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:1507(simplify)
      368    0.004    0.000    0.086    0.000 /Users/adam/git/personal/simian/new/render.py:30(_render_rows)
        1    0.000    0.000    0.082    0.082 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor_lowering.py:1643(call_parallel_gufunc)
      184    0.011    0.000    0.082    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/tasks.py:723(gather)
    54/51    0.000    0.000    0.080    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:1189(__call__)
    54/51    0.000    0.000    0.080    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:1218(wrapper)
        7    0.000    0.000    0.078    0.011 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:996(_finalize_specific)
        7    0.000    0.000    0.076    0.011 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:667(_optimize_final_module)
       14    0.000    0.000    0.076    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/binding/passmanagers.py:681(run)
       12    0.000    0.000    0.074    0.006 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:1058(wrapper)
        7    0.000    0.000    0.073    0.010 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
1322/1318    0.001    0.000    0.072    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:348(apply)
    18952    0.008    0.000    0.072    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/tasks.py:659(ensure_future)
   294/48    0.000    0.000    0.072    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:153(refresh)
    14/12    0.000    0.000    0.067    0.006 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:900(lower_call)
    14/12    0.000    0.000    0.066    0.006 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:1142(_lower_call_normal)
        1    0.000    0.000    0.065    0.065 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4914(array_copy)
        1    0.000    0.000    0.065    0.065 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4868(_array_copy)
