         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      290    0.003    0.000    0.179    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:60(load_additional_registries)
        7    0.000    0.000    0.174    0.025 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:739(finalize)
7760/7422    0.004    0.000    0.173    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  305/127    0.001    0.000    0.173    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
   224/46    0.001    0.000    0.171    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   216/46    0.001    0.000    0.169    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
   348/46    0.000    0.000    0.166    0.004 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   190/44    0.000    0.000    0.165    0.004 <frozen importlib._bootstrap_external>:784(exec_module)
    28/17    0.000    0.000    0.164    0.010 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:565(_ensure_finalized)
   167256    0.076    0.000    0.161    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:765(_call_soon)
   117/38    0.000    0.000    0.156    0.004 {built-in method builtins.__import__}
   198/45    0.000    0.000    0.149    0.003 {built-in method builtins.exec}
      808    0.128    0.000    0.129    0.000 /Users/adam/git/personal/simian/new/simulation.py:30(update_grid)
  289/265    0.001    0.000    0.123    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:442(lower_inst)
      4/3    0.000    0.000    0.117    0.039 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:105(run_pass)
      4/3    0.000    0.000    0.117    0.039 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
      4/3    0.000    0.000    0.110    0.037 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:1072(propagate)
      9/7    0.001    0.000    0.110    0.016 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:147(propagate)
     7272    0.006    0.000    0.108    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/selectors.py:554(select)
  259/257    0.003    0.000    0.101    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:281(get_call_type)
     8888    0.101    0.000    0.101    0.000 {method 'control' of 'select.kqueue' objects}
        3    0.000    0.000    0.099    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/cpu.py:225(get_executable)
        3    0.000    0.000    0.099    0.033 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
    80800    0.068    0.000    0.096    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/tasks.py:764(_done_callback)
  123/111    0.000    0.000    0.095    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:650(lower_assign)
  209/207    0.001    0.000    0.094    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:585(resolve)
